,movie,year,imdb,
381,Jack Reacher,2012,7,5
382,Batman Returns,1992,7,5
383,Jeune et jolie,2013,6.7,5
384,The SpongeBob SquarePants Movie,2004,7.1,5
385,"South Park: Bigger, Longer & Uncut",1999,7.7,5
386,Zootopia,2016,8,5
387,District 9,2009,7.9,5
388,Insidious: Chapter 3,2015,6.1,5
389,Natural Born Killers,1994,7.3,5
390,Star Wars: Episode I - The Phantom Menace,1999,6.5,5
391,Cloud Atlas,2012,7.4,5
392,Tinker Tailor Soldier Spy,2011,7.1,5
393,Snowpiercer,2013,7.1,5
394,Kung Fu Panda,2008,7.5,5
395,Friday Night Lights,2004,7.2,5
396,Superman,1978,7.3,5
397,Deadpool,2016,8,5
398,30 Days of Night,2007,6.6,5
399,The Great Gatsby,2013,7.2,5
400,Luftslottet som sprängdes,2009,7.3,5
401,Harry Potter and the Deathly Hallows: Part 1,2010,7.7,5
402,Dawn of the Planet of the Apes,2014,7.6,5
403,The Bourne Supremacy,2004,7.7,5
404,Indiana Jones and the Kingdom of the Crystal Skull,2008,6.1,5
405,Taken,2008,7.8,5
406,Hardcore Henry,2015,6.7,4
407,Happy Feet,2006,6.4,4
408,Evil Dead,2013,6.5,4
409,The Da Vinci Code,2006,6.6,4
410,A Very Harold & Kumar 3D Christmas,2011,6.3,4
411,The Fast and the Furious,2001,6.8,4
412,Devil,2010,6.2,4
413,The Hunger Games: Catching Fire,2013,7.5,4
414,Kingsman: The Golden Circle,2017,6.7,4
415,Accepted,2006,6.4,4
416,8 Mile,2002,7.1,4
417,[Rec]²,2009,6.5,4
418,Interview with the Vampire: The Vampire Chronicles,1994,7.6,4
419,28 Weeks Later,2007,7,4
420,Alien: Covenant,2017,6.4,4
421,Godzilla,2014,6.4,4
422,The Simpsons Movie,2007,7.3,4
423,Annabelle,2014,5.4,4
424,Wanted,2008,6.7,4
425,Madagascar: Escape 2 Africa,2008,6.6,4
426,Avengers: Infinity War,2018,8.5,4
427,Men in Black 3,2012,6.8,4
428,American Sniper,2014,7.3,4
429,Love in the Time of Cholera,2007,6.4,4
430,Life of Pi,2012,7.9,4
431,The Golden Compass,2007,6.1,4
432,The Wolf of Wall Street,2013,8.2,4
433,The Matrix Revolutions,2003,6.8,4
434,Angels & Demons,2009,6.7,4
435,The Edge of Seventeen,2016,7.3,4
436,Peter Pan,2003,6.8,4
437,X2,2003,7.4,4
438,Superbad,2007,7.6,4
439,Kick-Ass,2010,7.6,4
440,Cirque du Freak: The Vampire's Assistant,2009,5.8,4
441,The Mask,1994,6.9,4
442,Easy A,2010,7.1,4
443,Shrek the Third,2007,6.1,4
444,The Good Dinosaur,2015,6.7,4
445,Flickan som lekte med elden,2009,7.2,4
446,American Hustle,2013,7.2,4
447,Saw,2004,7.6,4
448,La belle et la bête,2014,6.4,4
449,Atlantis: The Lost Empire,2001,6.9,4
450,Silent Hill,2006,6.5,4
451,The Duchess,2008,6.9,4
452,The Incredible Hulk,2008,6.7,4
453,We're the Millers,2013,7,4
454,Crash,2004,7.8,4
455,The Wolverine,2013,6.7,4
456,Captain America: The Winter Soldier,2014,7.7,4
457,The Purge: Anarchy,2014,6.4,4
458,Black Panther,2018,7.3,4
459,Fantastic Beasts and Where to Find Them,2016,7.3,4
460,27 Dresses,2008,6.1,4
461,National Treasure: Book of Secrets,2007,6.5,4
462,Harry Potter and the Half-Blood Prince,2009,7.6,4
463,Mission: Impossible - Rogue Nation,2015,7.4,4
464,Hot Tub Time Machine,2010,6.4,4
465,Jurassic Park III,2001,5.9,4
466,The Conjuring 2,2016,7.3,4
467,Sherlock Holmes: A Game of Shadows,2011,7.5,4
468,Jason Bourne,2016,6.6,4
469,Transformers,2007,7,4
470,The Man from U.N.C.L.E.,2015,7.3,4
471,Knowing,2009,6.2,4
472,The Hunger Games: Mockingjay - Part 1,2014,6.6,4
473,X-Men: Apocalypse,2016,6.9,4
474,Warcraft,2016,6.8,4
475,The Thing,2011,6.2,4
476,Total Recall,2012,6.3,4
477,How to Train Your Dragon 2,2014,7.8,4
478,X-Men: The Last Stand,2006,6.7,4
479,Quantum of Solace,2008,6.6,4
480,The Amazing Spider-Man,2012,6.9,4
481,The Transporter,2002,6.8,4
482,American Psycho,2000,7.6,4
483,Brother Bear,2003,6.8,4
484,She's the Man,2006,6.3,4
485,The Irishman,2019,7.9,4
486,Mission: Impossible III,2006,6.9,4
487,Friends with Benefits,2011,6.5,4
488,Doctor Strange,2016,7.5,4
489,Hancock,2008,6.4,4
490,Shrek Forever After,2010,6.3,4
491,22 Jump Street,2014,7,4
492,Twin Peaks: Fire Walk with Me,1992,7.3,4
493,Beauty and the Beast,2017,7.1,4
494,The Bank Job,2008,7.2,4
495,Gravity,2013,7.7,4
496,The X Files: I Want to Believe,2008,5.9,4
497,Twilight,2008,5.2,4
498,The Uninvited,2009,6.3,4
499,The Hobbit: The Desolation of Smaug,2013,7.8,4
500,Ice Age: Continental Drift,2012,6.6,4
501,Ouija: Origin of Evil,2016,6.1,4
502,Knocked Up,2007,6.9,4
503,Bridesmaids,2011,6.8,4
504,The Stoning of Soraya M.,2008,8,4
505,Case 39,2009,6.2,4
506,Gerald's Game,2017,6.6,4
507,Final Destination,2000,6.7,4
508,The Diary of a Teenage Girl,2015,6.9,4
509,King Arthur,2004,6.3,4
510,Doctor Dolittle,1998,5.4,4
511,Prince of Persia: The Sands of Time,2010,6.6,3
512,The Great Wall,2016,5.9,3
513,Captain America: Civil War,2016,7.8,3
514,X-Men Origins: Wolverine,2009,6.6,3
515,The Twilight Saga: New Moon,2009,4.7,3
516,Batman v Superman: Dawn of Justice,2016,6.5,3
517,Suicide Squad,2016,6,3
518,Paranormal Activity 2,2010,5.6,3
519,Pirates of the Caribbean: On Stranger Tides,2011,6.6,3
520,Eat Pray Love,2010,5.8,3
521,Transformers: Revenge of the Fallen,2009,6,3
522,Taken 2,2012,6.3,3
523,Iron Man 2,2010,7,3
524,Love & Other Drugs,2010,6.7,3
525,Taken 3,2014,6,3
526,Hannah Montana: The Movie,2009,4.5,3
527,Thor,2011,7,3
528,The Dictator,2012,6.4,3
529,The Sorcerer's Apprentice,2010,6.1,3
530,Spring Breakers,2012,5.3,3
531,Night at the Museum: Battle of the Smithsonian,2009,6,3
532,Project X,2012,6.6,3
533,No Strings Attached,2011,6.2,3
534,The Last Exorcism,2010,5.6,3
535,Predators,2010,6.4,3
536,Quarantine,2008,5.9,3
537,Ghostbusters,2016,5.2,3
538,The Host,2013,5.9,3
